Date,MTSDS133FMS,PSUNOUSDM,LNU01300002,MIXRNSA,PCU3272132721,APU0000FF1101,PCU4841224841221,MNFCTRMPCIMNSA,WPU01130603,MRTSMPCSM442USN,CPHPLA01EZM661N
2000-01-01,62152.0,428.52380952381,59.9,100.0,,,141.5,2.1,104.4,-25.3,79.35
2000-02-01,-41734.0,405.52380952381,60.0,100.21244,,,143.1,1.7,102.9,5.3,79.55
2000-03-01,-35380.0,406.869565217391,60.2,100.74446,,,144.5,-1.1,104.4,9.1,79.72
2000-04-01,159497.0,436.0,60.1,101.82893,,,144.4,1.4,102.1,-6.4,79.86
2000-05-01,-3611.0,412.913043478261,59.9,102.80919,,,144.5,0.3,104.0,7.0,79.83
2000-06-01,55888.0,373.227272727273,60.3,103.49209,,,144.9,-0.5,103.0,-1.9,79.96
2000-07-01,5061.0,353.857142857143,60.0,103.67034,,,143.4,1.6,92.9,0.3,80.02
2000-08-01,-10427.0,352.652173913044,59.6,104.37173,,,149.6,0.7,105.5,6.2,80.17
2000-09-01,65747.0,354.857142857143,59.6,105.2252,,,153.2,-0.8,83.3,-5.5,80.21
2000-10-01,-11321.0,338.909090909091,59.8,106.24741000000002,,,153.0,1.2,77.9,1.8,80.3
2000-11-01,-23690.0,332.545454545455,59.9,107.55623,,,154.0,0.3,77.3,8.9,80.33
2000-12-01,32666.0,356.047619047619,60.0,108.89294,,,153.9,-2.9,74.5,3.5,80.64
2001-01-01,76379.0,346.913043478261,59.9,110.28227,,,152.5,2.4,74.0,-18.4,80.18
2001-02-01,-48168.0,349.1,60.1,110.76111999999999,,,152.8,0.0,67.4,-3.6,80.29
2001-03-01,-50662.0,379.863636363636,60.3,111.94038,,,152.0,-2.3,77.2,11.4,80.73
2001-04-01,189796.0,372.285714285714,59.6,113.31531000000001,,,151.7,0.3,77.0,-8.3,81.12
2001-05-01,-27919.0,379.652173913044,59.6,114.83847,,,152.0,-0.7,107.4,8.8,81.21
2001-06-01,31862.0,412.619047619048,59.9,115.96813,,,152.4,-2.6,152.4,-0.8,81.36
2001-07-01,2820.0,453.090909090909,59.9,117.08193999999999,,,152.1,-0.1,175.2,-0.5,81.33
2001-08-01,-79990.0,465.217391304348,59.4,118.29956000000001,,,154.5,-0.7,204.6,6.9,81.41
2001-09-01,35501.0,430.2,59.5,119.66565,,,156.8,-1.9,177.5,-11.2,81.62
2001-10-01,-7656.0,440.478260869565,59.7,121.32231000000002,,,155.5,-0.3,156.3,7.4,81.88
2001-11-01,-54267.0,576.272727272727,59.8,122.89448999999999,,,156.3,-1.6,148.1,12.4,81.97
2001-12-01,26567.0,627.619047619048,59.7,124.01776000000001,,,154.8,-4.2,155.3,10.3,82.48
2002-01-01,43729.0,567.434782608696,59.3,124.51787,,,156.8,1.5,194.4,-24.2,82.09
2002-02-01,-76056.0,563.05,59.9,125.05837,,,156.1,0.0,193.0,-0.8,82.3
2002-03-01,-64238.0,546.52380952381,59.8,126.34868999999999,,,156.3,-1.7,196.1,9.7,82.79
2002-04-01,67170.0,545.681818181818,59.6,127.84043,,,156.7,0.7,202.1,-5.2,83.05
2002-05-01,-80631.0,525.0,59.4,129.8341,,,159.5,-0.1,204.4,8.4,83.28
2002-06-01,29071.0,556.85,59.8,131.59159,,,160.5,-1.1,254.6,-6.1,83.37
2002-07-01,-29159.0,596.217391304348,59.7,133.38603,,,158.9,1.2,279.7,2.3,83.3
2002-08-01,-54709.0,639.772727272727,59.6,134.9094,,,164.3,0.5,169.2,7.0,83.38
2002-09-01,42388.0,631.619047619048,59.6,136.76466000000002,,,164.1,-0.4,122.8,-9.1,83.57
2002-10-01,-54072.0,635.434782608696,59.7,138.624,,,165.0,0.8,96.5,5.4,83.77
2002-11-01,-58883.0,732.380952380952,59.6,140.08555,,,166.2,-0.5,98.4,12.5,83.85
2002-12-01,4719.0,729.954545454546,59.5,141.97661000000002,,,164.8,-2.1,95.1,7.8,84.29
2003-01-01,10633.0,659.391304347826,59.6,143.77936,,,165.5,1.7,97.1,-24.5,83.64
2003-02-01,-96663.0,640.6,59.6,145.45826,,,166.0,2.0,91.0,-6.6,83.85
2003-03-01,-58877.0,647.0,59.7,147.09493,,,166.9,-1.6,92.4,13.5,84.34
2003-04-01,51066.0,667.636363636364,59.5,148.35664,,,165.1,0.5,87.0,-3.2,84.7
2003-05-01,-88867.0,678.272727272727,59.5,149.75245,,,163.9,-0.1,81.2,9.5,84.8
2003-06-01,21230.0,634.047619047619,60.1,150.67002,,,164.9,-2.0,77.6,-4.0,84.88
2003-07-01,-54240.0,577.521739130435,59.7,152.64563,,,166.3,0.4,67.4,4.1,84.68
2003-08-01,-76587.0,552.238095238095,59.5,155.07068,,,168.1,-0.1,88.1,3.8,84.8
2003-09-01,23402.0,617.5,59.1,157.28361999999998,,,170.4,-1.3,84.3,-4.4,85.07
2003-10-01,-69545.0,705.217391304348,59.4,159.58723999999998,,,168.9,0.7,83.3,4.2,85.25
2003-11-01,-42971.0,708.8,59.3,161.10973,,,169.4,-0.8,83.1,8.0,85.27
2003-12-01,-17640.0,711.739130434783,59.0,162.92928,100.0,,169.3,-3.0,80.1,12.7,85.65
2004-01-01,-1633.0,720.5,58.9,164.82098,100.2,,171.2,2.2,75.4,-24.7,85.09
2004-02-01,-96701.0,755.5,59.2,166.65351,100.3,,171.9,1.8,74.5,-0.5,85.4
2004-03-01,-72913.0,756.04347826087,59.2,169.995,100.1,,172.5,-0.4,77.0,11.6,85.84
