,title
0,10-Year Breakeven Inflation Rate
1,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity
2,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
3,Consumer Price Index for All Urban Consumers: All Items in U.S. City Average
4,Unemployment Rate
5,Unemployment Rate
6,Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity
7,Federal Funds Effective Rate
8,M2
9,M2
10,"Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity, Inflation-Indexed"
11,S&P/Case-Shiller U.S. National Home Price Index
12,S&P/Case-Shiller U.S. National Home Price Index
13,M1
14,M1
15,"5-Year, 5-Year Forward Inflation Expectation Rate"
16,10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity
17,5-Year Breakeven Inflation Rate
18,Labor Force Participation Rate
19,Labor Force Participation Rate
20,"All Employees, Total Nonfarm"
21,"All Employees, Total Nonfarm"
22,3-Month Treasury Bill Secondary Market Rate
23,Personal Consumption Expenditures
24,Personal Saving Rate
25,Moody's Seasoned Aaa Corporate Bond Yield
26,"Crude Oil Prices: West Texas Intermediate (WTI) - Cushing, Oklahoma"
27,Consumer Price Index: Total All Items for the United States
28,Consumer Price Index: Total All Items for the United States
29,Consumer Price Index: Total All Items for the United States
30,Monthly Supply of Houses in the United States
31,Monthly Supply of Houses in the United States
32,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average
33,Consumer Price Index for All Urban Consumers: All Items Less Food and Energy in U.S. City Average
34,Moody's Seasoned Baa Corporate Bond Yield
35,Industrial Production: Total Index
36,Industrial Production: Total Index
37,Currency in Circulation
38,Monetary Base; Total
39,New Privately-Owned Housing Units Started: Total Units
40,New Privately-Owned Housing Units Started: Total Units
41,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp"
42,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp"
43,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp"
44,"Producer Price Index by Commodity: Pulp, Paper, and Allied Products: Wood Pulp"
45,Market Yield on U.S. Treasury Securities at 1-Year Constant Maturity
46,University of Michigan: Consumer Sentiment
47,Producer Price Index by Commodity: All Commodities
48,Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity
49,Producer Price Index by Commodity: Metals and Metal Products: Cold Rolled Steel Sheet and Strip
50,Producer Price Index by Commodity: Metals and Metal Products: Cold Rolled Steel Sheet and Strip
51,"Trade Weighted U.S. Dollar Index: Broad, Goods and Services"
