index,period,revenuePerShare,netIncomePerShare,operatingCashFlowPerShare,freeCashFlowPerShare,cashPerShare,bookValuePerShare,tangibleBookValuePerShare,shareholdersEquityPerShare,interestDebtPerShare,marketCap,enterpriseValue,peRatio,priceToSalesRatio,pocfratio,pfcfRatio,pbRatio,ptbRatio,evToSales,enterpriseValueOverEBITDA,evToOperatingCashFlow,evToFreeCashFlow,earningsYield,freeCashFlowYield,debtToEquity,debtToAssets,netDebtToEBITDA,currentRatio,interestCoverage,incomeQuality,dividendYield,payoutRatio,salesGeneralAndAdministrativeToRevenue,researchAndDdevelopementToRevenue,intangiblesToTotalAssets,capexToOperatingCashFlow,capexToRevenue,capexToDepreciation,stockBasedCompensationToRevenue,grahamNumber,roic,returnOnTangibleAssets,grahamNetNet,workingCapital,tangibleAssetValue,netCurrentAssetValue,investedCapital,averageReceivables,averagePayables,averageInventory,daysSalesOutstanding,daysPayablesOutstanding,daysOfInventoryOnHand,receivablesTurnover,payablesTurnover,inventoryTurnover,roe,capexPerShare
31/12/1989,Q1,0.102568681,0.008571429,0.017932692,0.013612637,0.028193681,0.104656593,0.104656593,0.104656593,0.004663462,4842495840,4499895840,9.7005125,3.242597991,18.54651796,24.43237053,3.177907757,3.177907757,3.01318859,17.82843043,17.23437702,22.70381352,0.025771834,0.040929307,0,0.458358511,-1.357369255,2.605018483,,2.092147436,0.002891071,0.112179487,0.393129771,0,0,-0.240903868,-0.042118655,-1.315899582,0,0.142069601,0.098927419,0.044360715,-0.007139423,1432800000,,1036000000,0.044559653,16892500000,20192850000,2822800000,45.13860988,34.82872102,57.43305909,1.993858478,2.584074217,1.567041725,0.081900512,-0.004320055
31/03/1990,Q2,0.094843919,0.009285714,0.021368415,0.018353024,0.045498591,0.109265662,0.109265662,0.109265662,0.001409061,5100913462,4475113462,9.675480769,3.789120087,16.81804636,19.5812417,3.289002168,3.289002168,3.324256026,17.19213777,14.7547427,17.17893843,0.025838509,0.051069284,0,0.441258061,-2.404149059,2.931292781,,2.301213961,0.002646585,0.102427921,0.399197742,0,0,-0.141114408,-0.031793196,-0.968325792,0,0.151091756,0.099530329,0.047483518,0.005026826,1495400000,,1044900000,0.012895738,16847400000,20181400000,2765750000,44.04397564,37.5411286,49.75234389,2.043412265,2.397370653,1.80896,0.084982913,-0.003015391
30/06/1990,Q3,0.097648462,0.008571429,0.021593131,0.017958502,0.047579299,0.107808252,0.107808252,0.107808252,0.001781541,5584433073,4944333073,11.65365833,4.091759286,18.50375439,22.24873734,3.70615415,3.70615415,3.622752838,20.07443392,16.38281336,19.69853814,0.021452491,0.044946371,0,0.478525696,-2.598863175,2.637275905,,2.519198664,0.002399527,0.111853088,0.406140094,0,0,-0.168323393,-0.037221571,-1.018036072,0,0.144192897,0.091031659,0.04146046,-0.003049726,1452100000,,956300000,0.016525086,16870750000,20203050000,2755450000,46.52330012,43.43593291,45.42797856,1.934514529,2.072017198,1.981157931,0.079506238,-0.003634629
30/09/1990,Q4,0.0968829,0.00704746,0.006990222,0.00213928,0.026808967,0.103515383,0.103515383,0.103515383,0.008771762,3806139843,3554039843,9.66025341,2.810826264,38.95741907,127.2956469,2.630729778,2.630729778,2.624650944,15.99477877,36.37707107,118.8642088,0.025879238,0.007855728,0,0.513795073,-1.134563456,2.340116845,,0.991878173,0.003389261,0.130964467,0,0,0,-0.693961105,-0.050070157,-1.115131579,0,0.128117961,0.072150665,0.033101455,-0.028978655,1376300000,,874400000,0.084738734,16898950000,20233800000,2787250000,50.63953918,51.83293879,54.10043963,1.777267358,1.736347622,1.663572433,0.068081283,-0.004850942
31/12/1990,Q1,0.127233033,0.011428571,0.017230185,0.011595634,0.056140484,0.117330802,0.117330802,0.117330802,0.001746559,5055865019,4339565019,8.398446875,3.017526123,22.28234914,33.10979056,3.27219275,3.27219275,2.590011948,14.97434444,19.12545182,28.41889338,0.029767409,0.030202547,0,0.510626168,-2.471704624,2.372470391,,1.507641196,0.002749282,0.092358804,0.377379887,0,0,-0.327016307,-0.044285288,-1.57537155,0,0.173697374,0.109544365,0.047667311,-0.002166113,1471700000,,931800000,0.014885768,16944750000,20272150000,2813750000,45.84601611,48.92145369,47.8898007,1.963093146,1.839683681,1.879314565,0.097404699,-0.005634551
31/03/1991,Q2,0.117516345,0.009642857,-0.001331317,-0.004199902,0.06430778,0.133455378,0.133455378,0.133455378,0.000441321,8315136947,7446836947,15.85647778,5.204441977,-459.3998313,-145.6241147,4.582857665,4.582857665,4.660973241,28.93099047,-411.4274556,-130.4174597,0.015766427,-0.006866995,0,0.469814739,-3.373348873,2.823629793,,-0.138062548,0.001695703,0.107551487,0.370845591,0,0,2.154696133,-0.02441009,-0.849673203,0,0.170161837,0.076916735,0.03830869,0.01251328,1816700000,,1205100000,0.003306878,16913450000,20274000000,2919950000,44.55216874,49.03584832,72.31914068,2.020103679,1.835391924,1.244483814,0.072255291,-0.002868585
30/06/1991,Q3,0.113092548,-0.003928571,-0.010024886,-0.013983051,0.057241727,0.123280199,0.123280199,0.123280199,0.011563761,5128973411,4511573411,-24.14770909,3.355340449,-37.85220229,-27.13742545,3.07806122,3.07806122,2.951441457,-140.5474583,-33.29574473,-23.87075879,-0.010352949,-0.036849479,0,0.517783244,19.23364486,2.197932857,,2.551789077,0.002807579,-0.271186441,0.516223996,0,0,0.394833948,-0.034999346,-1,0,0.104389123,-0.040946189,-0.015366807,-0.005439703,1541500000,,1039100000,0.093800636,16901550000,20244350000,2976150000,45.16485673,42.00929152,85.16840883,1.992699778,2.14238319,1.056729851,-0.031867011,-0.003958165
30/09/1991,Q4,0.111494485,0.006007533,0.004098736,0.000281141,0.044693974,0.130708232,0.130708232,0.130708232,0.010994081,5973746138,5518246138,18.39207555,3.963998764,107.8293527,1572.038457,3.38130194,3.38130194,3.661742626,29.21252588,99.60733101,1452.170036,0.013592811,0.000636117,0,0.49430387,-2.411328745,2.35280585,,0.68226601,0.002360328,0.17364532,0,0,0,-0.931407942,-0.034240212,-0.89119171,0,0.132920146,0.053283549,0.023242501,-0.007883037,1646500000,,1136700000,0.084111621,16971600000,20242050000,2945350000,54.1791639,40.46204205,76.10852323,1.661155203,2.224306917,1.182521959,0.045961397,-0.003817595
31/12/1991,Q1,0.136248709,0.012142857,0.022361876,0.018587349,0.038776678,0.140652324,0.140652324,0.140652324,0.003342943,6881063247,6396663247,10.36304706,3.694332249,22.50920264,27.08013871,3.578668217,3.578668217,3.434265675,20.14062735,20.92464261,25.17380262,0.024124179,0.036927433,0,0.486637298,-1.525188917,2.41706012,,1.841566265,0.002063635,0.085542169,0.295608289,0,0,-0.168792934,-0.027703211,-1.036144578,0,0.196031182,0.106113872,0.04431985,-0.017616287,1800800000,,1248900000,0.023767423,17004750000,20263900000,2931150000,47.03908515,36.08643457,57.92016807,1.913302517,2.494011976,1.553862894,0.086332432,-0.003774527
31/03/1992,Q2,0.124748863,0.009821429,0.023357698,0.020304404,0.055744422,0.151719626,0.151719626,0.151719626,0.009908666,7154155161,6523655161,13.23862909,4.169088089,22.26627812,25.61459062,3.427961265,3.427961265,3.801663847,24.33291742,20.30393763,23.35716134,0.018884131,0.039040249,0,0.470425537,-2.351734427,2.603645375,,2.378238342,0.002026794,0.107327905,0.317657343,0,0,-0.130718954,-0.024475524,-0.836653386,0,0.183104691,0.078215613,0.034281509,-0.011695206,2006000000,,1403000000,0.065309056,16954650000,20234000000,2880750000,45.80244755,33.71786421,53.64205669,1.964960495,2.669208211,1.677788018,0.064734068,-0.003053294
