id,realtime_start,realtime_end,title,observation_start,observation_end,frequency,frequency_short,units,units_short,seasonal_adjustment,seasonal_adjustment_short,last_updated,popularity,notes,DownloadLink
MTSDS133FMS,2021-10-19,2021-10-19,Federal Surplus or Deficit [-],1980-10-01,2021-08-01,Monthly,M,Millions of Dollars,Mil. of $,Not Seasonally Adjusted,NSA,2021-09-13 14:08:01-05,64,The Monthly Treasury Statement (https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government) can be found on FiscalData and is available for download in multiple machine-readable formats with complete metadata.,https://fred.stlouisfed.org/data/MTSDS133FMS.txt
PSUNOUSDM,2021-10-19,2021-10-19,Global price of Sunflower Oil,1990-01-01,2021-09-01,Monthly,M,U.S. Dollars per Metric Ton,U.S. $ per Metric Ton,Not Seasonally Adjusted,NSA,2021-10-15 15:15:01-05,73,"Value represents the benchmark prices which are representative of the global market. They are determined by the largest exporter of a given commodity. Prices are period averages in nominal U.S. dollars.  Copyright © 2016, International Monetary Fund. Reprinted with permission. Complete terms of use and contact details are available at http://www.imf.org/external/terms.htm.",https://fred.stlouisfed.org/data/PSUNOUSDM.txt
LNU01300002,2021-10-19,2021-10-19,Labor Force Participation Rate - Women,1948-01-01,2021-09-01,Monthly,M,Percent,%,Not Seasonally Adjusted,NSA,2021-10-08 07:43:44-05,29,"To obtain estimates of women worker employment, the ratio of weighted women employees to the weighted all employees in the sample is assumed to equal the same ratio in the universe. The current month's women worker ratio, thus, is estimated and then multiplied by the all-employee estimate. The weighted-difference-link-and-taper formula (described in the source) is used to estimate the current month's women worker ratio. This formula adds the change in the matched sample's women worker ratio (the weighted-difference link) to the prior month's estimate, which has been slightly modified to reflect changes in the sample composition (the taper).  The series comes from the 'Current Population Survey (Household Survey)'  The source code is: LNU01300002",https://fred.stlouisfed.org/data/LNU01300002.txt
MIXRNSA,2021-10-19,2021-10-19,S&P/Case-Shiller FL-Miami Home Price Index,1987-01-01,2021-07-01,Monthly,M,Index Jan 2000=100,Index Jan 2000=100,Not Seasonally Adjusted,NSA,2021-09-28 08:02:14-05,53,"For more information regarding the index, please visit Standard & Poor's (https://www.spglobal.com/spdji/en/documents/methodologies/methodology-sp-corelogic-cs-home-price-indices.pdf).  Copyright © 2016, S&P Dow Jones Indices LLC. All rights reserved. Reproduction of Home Price Index for Miami, Florida in any form is prohibited except with the prior written permission of S&P Dow Jones Indices LLC ""S&P"". S&P does not guarantee the accuracy, adequacy, completeness or availability of any information and is not responsible for any errors or omissions, regardless of the cause or for the results obtained from the use of such information. S&P DISCLAIMS ANY AND ALL EXPRESS OR IMPLIED WARRANTIES, INCLUDING, BUT NOT LIMITED TO, ANY WARRANTIES OF MERCHANTABILITY OR FITNESS FOR A PARTICULAR PURPOSE OR USE. In no event shall S&P be liable for any direct, indirect, special or consequential damages, costs, expenses, legal fees, or losses (including lost income or lost profit and opportunity costs) in connection with subscriber's or others' user of Home Price Index for Miami, Florida.  Permission to reproduce this series can be requested from index_services@spdji.com. More contact details are available from http://us.spindices.com/contact-us/, including phone numbers for all of its regional offices.",https://fred.stlouisfed.org/data/MIXRNSA.txt
PCU3272132721,2021-10-19,2021-10-19,Producer Price Index by Industry: Glass and Glass Product Manufacturing,2003-12-01,2021-09-01,Monthly,M,Index Dec 2003=100,Index Dec 2003=100,Not Seasonally Adjusted,NSA,2021-10-14 07:55:03-05,55,,https://fred.stlouisfed.org/data/PCU3272132721.txt
APU0000FF1101,2021-10-19,2021-10-19,"Average Price: Chicken Breast, Boneless (Cost per Pound/453.6 Grams) in U.S. City Average",2006-01-01,2021-09-01,Monthly,M,U.S. Dollars,U.S. $,Not Seasonally Adjusted,NSA,2021-10-13 07:39:08-05,47,"All whole or half boneless, skinless chicken breasts. Includes organic, non-organic, fresh, and frozen, as well as other descriptive claims.  Average consumer prices are calculated for household fuel, motor fuel, and food items from prices collected for the Consumer Price Index (CPI). Average prices are best used to measure the price level in a particular month, not to measure price change over time. It is more appropriate to use CPI index values for the particular item categories to measure price change.  Prices, except for electricity, are collected monthly by BLS representatives in the 75 urban areas priced for the CPI. Electricity prices are collected for the BLS for the same 75 areas on a monthly basis by the Department of Energy using mail questionnaires. All fuel prices include applicable Federal, State, and local taxes; prices for natural gas and electricity also include fuel and purchased gas adjustments.  For more information, please visit the Bureau of Labor Statistics (https://www.bls.gov/cpi/factsheets/average-prices.htm).",https://fred.stlouisfed.org/data/APU0000FF1101.txt
MRTSMPCSM442USN,2021-10-19,2021-10-19,Retail Sales: Furniture and Home Furnishings Stores,1992-02-01,2021-08-01,Monthly,M,Percent Change from Preceding Period,% Chg. from Preceding Period,Not Seasonally Adjusted,NSA,2021-10-15 09:08:16-05,1,The most recent month's value of the advance estimate based on data from a subsample of firms from the larger Monthly Retail Trade Survey is available at https://fred.stlouisfed.org/series/MARTSMPCSM442USN   Information about the Monthly Retail Trade Survey can be found on the Census website at https://www.census.gov/retail/mrts/about_the_surveys.html,https://fred.stlouisfed.org/data/MRTSMPCSM442USN.txt
PCU4841224841221,2021-10-19,2021-10-19,"Producer Price Index by Industry: General Freight Trucking, Long-Distance Less Than Truckload: General Freight Trucking, Long-Distance Less Than Truckload",1992-06-01,2021-09-01,Monthly,M,Index Jun 1992=100,Index Jun 1992=100,Not Seasonally Adjusted,NSA,2021-10-14 07:54:04-05,36,,https://fred.stlouisfed.org/data/PCU4841224841221.txt
CPHPLA01EZM661N,2021-10-19,2021-10-19,"Consumer Price Index: Harmonized Prices: Total All Items Less Food, Energy, Tobacco, and Alcohol for the Euro Area",1996-01-01,2021-08-01,Monthly,M,Index 2015=100,Index 2015=100,Not Seasonally Adjusted,NSA,2021-10-13 14:46:04-05,33,"OECD descriptor ID: CPHPLA01 OECD unit ID: IXOB OECD country ID: EA17  All OECD data should be cited as follows: OECD, ""Main Economic Indicators - complete database"", Main Economic Indicators (database),http://dx.doi.org/10.1787/data-00052-en (Accessed on date) Copyright, 2016, OECD. Reprinted with permission.",https://fred.stlouisfed.org/data/CPHPLA01EZM661N.txt
MNFCTRMPCIMNSA,2021-10-19,2021-10-19,Manufacturers Inventories,1992-02-01,2021-08-01,"Monthly, End of Period",M,Percent Change,% Chg.,Not Seasonally Adjusted,NSA,2021-10-15 09:01:23-05,2,,https://fred.stlouisfed.org/data/MNFCTRMPCIMNSA.txt
