Date,PG
31-03-2000,9783000000
30-06-2000,9661000000
30-09-2000,9969000000
31-12-2000,10182000000
31-03-2001,9511000000
30-06-2001,9582000000
30-09-2001,9766000000
31-12-2001,10403000000
31-03-2002,9900000000
30-06-2002,10169000000
30-09-2002,10796000000
31-12-2002,11005000000
31-03-2003,10656000000
30-06-2003,10920000000
30-09-2003,12195000000
31-12-2003,13221000000
31-03-2004,13029000000
30-06-2004,12962000000
30-09-2004,13744000000
31-12-2004,14452000000
31-03-2005,14287000000
30-06-2005,14258000000
30-09-2005,14793000000
31-12-2005,18337000000
31-03-2006,17250000000
30-06-2006,17842000000
30-09-2006,18785000000
31-12-2006,19725000000
31-03-2007,18694000000
30-06-2007,19272000000
30-09-2007,20199000000
31-12-2007,21575000000
31-03-2008,20463000000
30-06-2008,21266000000
30-09-2008,22026000000
31-12-2008,20368000000
31-03-2009,18417000000
30-06-2009,18662000000
30-09-2009,19807000000
31-12-2009,21027000000
31-03-2010,19178000000
30-06-2010,18926000000
30-09-2010,20122000000
31-12-2010,21347000000
31-03-2011,20230000000
30-06-2011,20860000000
30-09-2011,21917000000
31-12-2011,22135000000
31-03-2012,20194000000
30-06-2012,20212000000
30-09-2012,20739000000
31-12-2012,22175000000
31-03-2013,20598000000
30-06-2013,20655000000
30-09-2013,21205000000
31-12-2013,22280000000
31-03-2014,20559000000
30-06-2014,19018000000
30-09-2014,20792000000
31-12-2014,20161000000
31-03-2015,18142000000
30-06-2015,17790000000
30-09-2015,16527000000
31-12-2015,16915000000
31-03-2016,15755000000
30-06-2016,16102000000
30-09-2016,16518000000
31-12-2016,16856000000
31-03-2017,15605000000
30-06-2017,16079000000
30-09-2017,16653000000
31-12-2017,17395000000
31-03-2018,16281000000
30-06-2018,16503000000
30-09-2018,16690000000
31-12-2018,17438000000
31-03-2019,16462000000
30-06-2019,17094000000
30-09-2019,17798000000
31-12-2019,18240000000
31-03-2020,17214000000
30-06-2020,17698000000
30-09-2020,19318000000
31-12-2020,19745000000
31-03-2021,18109000000
30-06-2021,18946000000
30-09-2021,
