ShortSymbol,sector,fullTimeEmployees,longBusinessSummary,city,totalRevenue,revenuePerShare,shortName,longName,symbol,sharesOutstanding,marketCap
ACC,Basic Materials,6000,"ACC Limited manufactures and sells cement and ready-mix concrete in India. The company provides ordinary Portland cement; blended cement, including Portland Pozzolana cement, Portland slag cement, and composite cement; gold and silver range of cement; ready mixed concrete value-added products; and bulk cement. It also offers construction chemicals, such as ACC LeakBlock, a polymer-based integral waterproofing compound used in various types of cement mortar, plasters, and concrete; ACC LeakBlock WaterProof Plaster - LB 101, a ready-to-use cementitious waterproof mortar for internal and external plaster applications; and tile adhesives. In addition, the company provides EcoPact, a concrete with lower embodied carbon content for various structural components applications comprising foundations, columns, beams, external or internal walls, driveways, walkways, etc. It distributes its products through a network of dealers, retailers, masons, engineers, and architects, as well as sales platforms. The company was formerly known as The Associated Cement Companies Limited and changed its name to ACC Limited in September 2006. ACC Limited was incorporated in 1936 and is headquartered in Mumbai, India. ACC Limited is a subsidiary of Ambuja Cements Limited.",Mumbai,1.60706E+11,855.79,ACC LIMITED,ACC Limited,ACC.NS,"18,77,87,008.00",4.56595E+11
ADANIENT,Energy,790,"Adani Enterprises Limited, together with its subsidiaries, engages in the coal trading, coal mining, oil and gas exploration, ports, multi-modal logistics, power generation and transmission, gas distribution, and edible oil and agro commodities businesses in India and internationally. The company trades in coal; offers bunkering and integrated coal management services; imports fruits, apple, pear, kiwi, oranges, and grapes; and markets its apple under the FARM-PIK brand. It is also involved in the mining, processing, acquisition, exploration, and development of various coal properties, including Parsa East and Kanta Basan coal block, Kente Extension coal block, Parsa coal block, Gare Pelma sector III coal block; Talabira II and III coal block, and Suliyari coal block; a coal mining concession in Indonesia; and the Carmichael Coal mine in the Galilee Basin in Queensland, Australia, as well as solar PV manufacturing business. In addition, company offers edible oils, basmati rice, pulses, soya chunks, and besan and atta, as well as lauric and bakery fats, castor oil derivatives, oleo chemicals, and soya value added products under the Fortune, King's, Bullet, Raag, Avsar, Pilaf, Jubilee, Fryola, Alpha, Alife, and Aadhar brands. Further, it manufactures fighter aircraft, unmanned aerial systems, and helicopters, submarines, air defence guns, missiles and small arms; develops avionics and systems, aero structures and components, aerospace composites, and radar and electronic warfare systems, as well as constructs national highways, expressways, tunnels, metro-rail, railways, etc. Additionally, it engages in the waste water treatment, recycle, and reuse business; mining of minerals and ores activities, as well as operates, manages, and develops airports; and builds data centers. The company was founded in 1988 and is based in Ahmedabad, India. Adani Enterprises Limited is a subsidiary of S.B. Adani Family Trust.",Ahmedabad,5.09423E+11,462.936,ADANI ENTERPRISES,Adani Enterprises Limited,ADANIENT.NS,1099810048,1.63844E+12
ADANIGREEN,Utilities,795,"Adani Green Energy Limited generates and supplies renewable energy to central and state government entities, and government backed corporations in India. The company builds, owns, and operates power plants through renewable sources, such as solar, wind, and hybrid; and provides other ancillary services. It operates solar power plants with an operational capacity of 3,023 megawatts (MW); and wind power plants with an operational capacity of 497 MW. The company was incorporated in 2015 and is based in Ahmedabad, India.",Ahmedabad,40099999744,18.847,ADANI GREEN ENERGY,Adani Green Energy Limited,ADANIGREEN.NS,1564009984,1.8804E+12
ADANIPORTS,Industrials,2773,"Adani Ports and Special Economic Zone Limited, together with its subsidiaries, develops, operates, and maintains port infrastructure facilities in India. It also engages in the ports related infrastructure development activities; and development of infrastructure at contiguous Special Economic Zone at Mundra. The company operates 12 ports and terminals with 64 berths to facilitate the handling of dry bulk, liquid cargo, crude oil, containers, ro-ro, and project cargo at Mundra, Hazira, Dahej, Dhamra, Vizag, Murmugao, Kattupalli, Ennore, Tuna, Krishnapatnam, Dighi, and Vizhinjam port locations. It also provides auto logistics, inland waterways, rail operation, warehousing, and agriculture logistics services, as well as operates multi-modal logistics parks; and offers capital, maintenance, and inland water dredging services. In addition, it is involved in the operation, development, maintenance, improvement, and extension of utility services, including power distribution; provision of passenger airline, dredging, and warehousing / storage facilities and other related services, as well as hospital and related services; and ownership and operation of harbour tugs, barges, other port crafts, ocean towage, and offshore support vessels, as well as offers marine services, such as pilotage, laying, and maintenance of buoys. The company was formerly known as Mundra Port and Special Economic Zone Limited and changed its name to Adani Ports and Special Economic Zone Limited in January 2012. Adani Ports and Special Economic Zone Limited was incorporated in 1998 and is headquartered in Ahmedabad, India.",Ahmedabad,1.54436E+11,75.846,ADANI PORT SPECIAL,Adani Ports and Special Economic Zone Limited,ADANIPORTS.NS,2041750016,1.4572E+12
ADANITRANS,Utilities,5285,"Adani Transmission Limited, together with its subsidiaries, generates, transmits, and distributes power in India. The company operates through Transmission, Trading, and Mumbai GTD Business segments. It establishes, commissions, operates, and maintains electric power transmission systems; and distributes electricity to approximately 3 million customers in Mumbai. The company operates and maintains approximately 18,801 circuit kilometers of transmission lines with a total transformation capacity of 36,766 mega volt ampere in the states of Andhra Pradesh, Bihar, Chhattisgarh, Gujarat, Haryana, Jharkhand, Maharashtra, Madhya Pradesh, Rajasthan, Telangana, Uttar Pradesh, and West Bengal. In addition, it is involved in the dealing of bullion and agro commodities; and laying of optical fibers on transmission lines to provide telecom solutions to telecom companies, internet service providers, and long-distance communication operators. The company was incorporated in 2013 and is headquartered in Ahmedabad, India. Adani Transmission Limited is a subsidiary of S.B. Adani Family Trust.",Ahmedabad,1.06947E+11,99.083,ADANI TRANSMISS.IN,Adani Transmission Limited,ADANITRANS.NS,1099810048,1.9989E+12
AMBUJACEM,Basic Materials,5046,"Ambuja Cements Limited, together with its subsidiaries, manufactures and markets cement and cement related products to individual homebuilders, masons and contractors, and architects and engineers in India. The company offers Portland pozzolana cement, ordinary Portland cement, and pozzolana composite cement, as well as temperature resistant concrete blocks, Blaine Portland cement, and micro materials. It sells its products through dealers, authorized retail stockiest, retailers, and authorized sales representatives. The company was formerly known as Gujarat Ambuja Cements Limited and changed its name to Ambuja Cements Limited in April 2007. The company was incorporated in 1981 and is based in Mumbai, India. Ambuja Cements Limited operates as a subsidiary of Holderind Investments Limited.",Mumbai,2.87931E+11,144.952,AMBUJA CEMENTS LTD,Ambuja Cements Limited,AMBUJACEM.NS,1985650048,8.20471E+11
APOLLOHOSP,Healthcare,68496,"Apollo Hospitals Enterprise Limited, together with its subsidiaries, provides healthcare services in India and internationally. The company's healthcare facilities comprise primary, secondary, and tertiary care facilities. Its tertiary care hospitals provide care in approximately 60 specialties, including cardiac sciences, oncology, critical care, neurosciences, orthopedics, gastroenterology, and transplants. The company also provides other services, such as project consultancy, health insurance, and research services. In addition, it operates pharmacies, primary care clinics, birthing centers, specialized birthing centers, single specialty clinics, primary health centers and diagnostic chains, dental clinics, and daycare and home healthcare centers. The company's footprint includes 10,209 beds, 4,118 pharmacies, and 1175 national retail healthcare centers, as well as Apollo 24/7, an end-to-end omni-channel healthcare platform and www.apollopharmacy, an online pharmacy. Apollo Hospitals Enterprise Limited was incorporated in 1979 and is based in Chennai, India.",Chennai,1.21487E+11,860.572,APOLLO HOSPITALS.,Apollo Hospitals Enterprise Limited,APOLLOHOSP.NS,143784992,6.38197E+11
ASIANPAINT,Basic Materials,7134,"Asian Paints Limited, together with its subsidiaries, manufactures, sells, and distributes paints and coatings for decorative and industrial use in India and internationally. It operates in Paints and Home Improvement segments. The company offers decorative coatings for interior and exterior walls, metal finishes, and wood finishes; mechanized tools and waterproofing products; adhesives; bath fittings and accessories; modular kitchens and wardrobes; wall coverings and stickers; furniture; furnishings and lightings; kitchen hardware, accessories, and appliances; home d̩cor products; and sanitizers and surface disinfectants, as well as services, including color consultancy, home painting, d̩cor, project, interior design, and sanitization services. It also manufactures varnishes, enamels, or lacquers; surfacing preparations; organic composite solvents and thinners, and other related products; organic and inorganic chemical compounds; metal sanitary ware, such as bath, sinks, washbasins, and related articles; cosmetics and toiletries; and other perfumes and toilet preparations. The company offers its products under the Asian Paints, SCIB Paints, Apco Coatings, Asian Paints Berger, Taubmans, Asian Paints Causeway, and Kadisco Asian Paints brands through a network of dealers and retail stores, as well as operates asianpaints.com, an online shop. Asian Paints Limited was founded in 1942 and is headquartered in Mumbai, India.",Mumbai,2.5912E+11,270.197,ASIAN PAINTS LTD,Asian Paints Limited,ASIANPAINT.NS,959198016,3.03389E+12
AUROPHARMA,Healthcare,19364,"Aurobindo Pharma Limited engages in the research, development, manufacture, and sale of active pharmaceutical ingredients, generic pharmaceuticals, and related services in India. The company primarily offers oral solids, injectables, over the counter drugs, and dietary supplements, as well as active pharmaceutical ingredients and finished dosage forms for cardiovascular, central nervous system, gastroenterology, anti-allergies, anti-diabetics, anti-retroviral, antibiotics, dermatology, respiratory, and oncology. It is also involved in the development of a product pipeline in biosimilar and vaccine segments; and custom research and manufacturing activities for the bio-tech and pharmaceutical community. In addition, the company develops and manufactures peptides, as well as biocatalysts for use in the pharmaceutical and chemical industries. Further, it is developing biosimilar, inhalers, transdermal patches, vaccines, topicals, and depot injections. The company also exports its products. It serves multinational companies. The company has an agreement with COVAXX to develop and commercialize COVID-19 Vaccine for India and UNICEF. Aurobindo Pharma Limited was incorporated in 1986 and is headquartered in Hyderabad, India.",Hyderabad,2.45518E+11,419.358,AUROBINDO PHARMA,Aurobindo Pharma Limited,AUROPHARMA.NS,585939008,4.04327E+11
DMART,Consumer Defensive,10175,"Avenue Supermarts Limited operates in the business of organized retail and operates supermarkets under the brand name of D-Mart. It offers food products, including groceries, staples, processed foods, dairy and frozen products, beverages and confectionery products, and fruits and vegetables; non-food products comprising home care and personal care products, toiletries, and other over the counter products; and general merchandise and apparel products, such as bed and bath products, toys and games, crockery, plastic goods, garments, footwear, utensils, and home appliances. The company is also involved in the online retail of food products and groceries. It operates through a network of 234 stores located in Maharashtra, Gujarat, Telangana, Karnataka, Andhra Pradesh, Madhya Pradesh, Tamil Nadu, Rajasthan, Chhattisgarh, Punjab, Daman, and NCR. Avenue Supermarts Limited was incorporated in 2000 and is headquartered in Mumbai, India.",Mumbai,2.79257E+11,431.285,AVENUE SUPERMARTS,Avenue Supermarts Limited,DMART.NS,647774976,3.09876E+12
